,Địa chỉ,Khu vực,phường/xã,dự án/số hẻm đường,Khoảng giá phổ biến Min,Giá phổ biến nhất,Khoảng giá phổ biến Max,Diện tích,Số tầng,Số phòng ngủ,Số toilet,Mức giá
10859,"Hẻm 180/, Đường Bùi Văn Ba, Phường Tân Thuận Đông, Quận 7, Hồ Chí Minh",Quận 7,Tân Thuận Đông,"Hẻm 180/, Đường Bùi Văn Ba",85,146,224,12.0,2,1,1,920.0
10860,"Phường 22, Bình Thạnh, Hồ Chí Minh",Bình Thạnh,22,0,97,141,284,35.0,3,3,3,3500.0
10861,"Đường Đại Nghĩa, Phường 6, Tân Bình, Hồ Chí Minh",Tân Bình,6,Đường Đại Nghĩa,100,136,367,120.0,5,15,15,17500.0
10862,"Đường Số 4, Phường Trường Thọ, Thủ Đức, Hồ Chí Minh",Thủ Đức,Trường Thọ,Đường Số 4,36,92,222,150.0,3,4,4,7800.0
10863,"Đường Nguyễn Du, Phường Bến Thành, Quận 1, Hồ Chí Minh",Quận 1,Bến Thành,Đường Nguyễn Du,230,833,1792,196.0,3,4,4,45000.0
10864,"Đường Nam Kỳ Khởi Nghĩa, Phường Võ Thị Sáu, Quận 3, Hồ Chí Minh",Quận 3,Võ Thị Sáu,Đường Nam Kỳ Khởi Nghĩa,180,541,970,112.0,3,4,4,24000.0
10865,"Đường Hoàng Hoa Thám, Phường 5, Bình Thạnh, Hồ Chí Minh",Bình Thạnh,5,Đường Hoàng Hoa Thám,108,138,312,25.0,4,2,3,3980.0
10866,"Phường Linh Chiểu, Thủ Đức, Hồ Chí Minh",Thủ Đức,Linh Chiểu,0,60,85,259,85.0,3,4,4,9000.0
10867,"Đường Nguyễn Thái Bình, Phường 12, Tân Bình, Hồ Chí Minh",Tân Bình,12,Đường Nguyễn Thái Bình,129,211,332,110.0,4,5,5,14000.0
10868,"Đường Gò Dầu, Phường Tân Quý, Tân Phú, Hồ Chí Minh",Tân Phú,Tân Quý,Đường Gò Dầu,80,105,277,56.0,2,2,4,4690.0
10869,"Dự án Phú Mỹ Hưng, Đường 17, Phường Tân Phong, Quận 7, Hồ Chí Minh",Quận 7,Tân Phong,"Dự án Phú Mỹ Hưng, Đường 17",56,235,510,126.0,3,3,3,30000.0
10870,"Đường 3/2, Phường 14, Quận 10, Hồ Chí Minh",Quận 10,14,Đường 3/2,152,202,404,185.2,3,4,4,67000.0
10871,"Hẻm 369, Đường Lý Thái Tổ, Phường 9, Quận 10, Hồ Chí Minh",Quận 10,9,"Hẻm 369, Đường Lý Thái Tổ",150,332,563,35.0,3,4,3,7000.0
10872,"Dự án Tháp Mười Merita, Đường Liên Phường, Phường Phước Long B, Quận 9, Hồ Chí Minh",Quận 9,Phước Long B,"Dự án Tháp Mười Merita, Đường Liên Phường",21,92,214,100.0,2,4,3,19500.0
10873,"Đường 104, Phường Tăng Nhơn Phú A, Quận 9, Hồ Chí Minh",Quận 9,Tăng Nhơn Phú A,Đường 104,66,84,209,148.0,2,10,11,10200.0
10874,"Đường Lạc Long Quân, Phường 10, Tân Bình, Hồ Chí Minh",Tân Bình,10,Đường Lạc Long Quân,97,130,295,32.0,4,3,4,4600.0
10875,"Đường Lê Văn Quới, Phường Bình Hưng Hòa A, Bình Tân, Hồ Chí Minh",Bình Tân,Bình Hưng Hòa A,Đường Lê Văn Quới,67,86,179,44.0,2,3,3,3480.0
10876,"Đường Đình Phong Phú, Phường Tăng Nhơn Phú A, Quận 9, Hồ Chí Minh",Quận 9,Tăng Nhơn Phú A,Đường Đình Phong Phú,66,84,209,120.0,4,5,3,6500.0
10877,"Dự án CityLand Riverside, Đường Nguyễn Thị Thập, Phường Tân Phú, Quận 7, Hồ Chí Minh",Quận 7,Tân Phú,"Dự án CityLand Riverside, Đường Nguyễn Thị Thập",68,236,479,220.0,3,5,5,42900.0
10878,"Đường 47, Phường Thảo Điền, Quận 2, Hồ Chí Minh",Quận 2,Thảo Điền,Đường 47,54,236,630,42.0,1,2,2,3800.0
10879,"Đường Huỳnh Mẫn Đạt, Phường 7, Quận 5, Hồ Chí Minh",Quận 5,7,Đường Huỳnh Mẫn Đạt,148,416,679,70.0,3,3,3,12200.0
10880,"Phố Hoàng Đức Tương, Phường 4, Quận 11, Hồ Chí Minh",Quận 11,4,Phố Hoàng Đức Tương,168,247,322,84.0,4,6,4,17900.0
10881,"Đường Nguyễn Văn Trỗi, Phường 11, Phú Nhuận, Hồ Chí Minh",Phú Nhuận,11,Đường Nguyễn Văn Trỗi,144,185,634,180.0,3,4,4,28000.0
10882,"Đường Trần Hưng Đạo, Phường 2, Quận 5, Hồ Chí Minh",Quận 5,2,Đường Trần Hưng Đạo,159,456,635,90.0,4,4,4,38000.0
10883,"Đường Năm Châu, Phường 12, Tân Bình, Hồ Chí Minh",Tân Bình,12,Đường Năm Châu,129,211,332,32.0,4,3,4,5800.0
10884,"127, Đường Âu Cơ, Phường 14, Quận 11, Hồ Chí Minh",Quận 11,14,"127, Đường Âu Cơ",108,130,289,60.0,2,2,2,5900.0
10885,"Đường Cách Mạng Tháng Tám, Phường 13, Quận 10, Hồ Chí Minh",Quận 10,13,Đường Cách Mạng Tháng Tám,179,346,524,48.76,3,6,4,8700.0
10886,"Đường Phú Thọ Hòa, Phường Phú Thọ Hòa, Tân Phú, Hồ Chí Minh",Tân Phú,Phú Thọ Hòa,Đường Phú Thọ Hòa,82,107,262,41.8,2,2,2,2780.0
10887,"Đường Nguyễn Đình Chiểu, Phường 2, Quận 3, Hồ Chí Minh",Quận 3,2,Đường Nguyễn Đình Chiểu,182,229,930,44.0,3,3,3,8300.0
10888,"Đường Lê Văn Việt, Phường Hiệp Phú, Quận 9, Hồ Chí Minh",Quận 9,Hiệp Phú,Đường Lê Văn Việt,39,183,300,132.0,6,6,4,20000.0
10889,"Dự án Phú Mỹ Hưng, Phường Tân Phong, Quận 7, Hồ Chí Minh",Quận 7,Tân Phong,Dự án Phú Mỹ Hưng,56,235,510,221.0,3,4,4,66000.0
10890,"Đường Số 20, Phường 5, Gò Vấp, Hồ Chí Minh",Gò Vấp,5,Đường Số 20,88,120,351,80.0,3,4,4,7900.0
10891,"666/, Đường 3/2, Phường 14, Quận 10, Hồ Chí Minh",Quận 10,14,"666/, Đường 3/2",152,202,404,46.5,5,8,9,6660.0
10892,"Đường Võ Văn Ngân, Phường Bình Thọ, Thủ Đức, Hồ Chí Minh",Thủ Đức,Bình Thọ,Đường Võ Văn Ngân,87,153,248,220.0,1,4,3,28000.0
10893,"Đường Thảo Điền, Phường Thảo Điền, Quận 2, Hồ Chí Minh",Quận 2,Thảo Điền,Đường Thảo Điền,54,236,630,110.0,3,5,4,21500.0
10894,"Đường 3/2, Phường 12, Quận 10, Hồ Chí Minh",Quận 10,12,Đường 3/2,152,202,404,115.0,4,6,6,37500.0
10895,"Phố Lê Văn Phan, Phường Phú Thọ Hòa, Tân Phú, Hồ Chí Minh.",Tân Phú,Phú Thọ Hòa,Phố Lê Văn Phan,82,107,262,70.0,1,2,1,5350.0
10896,"Dự án The Classia, Đường Võ Chí Công, Phường Phú Hữu, Quận 9, Hồ Chí Minh",Quận 9,Phú Hữu,"Dự án The Classia, Đường Võ Chí Công",41,147,214,95.0,4,4,4,18000.0
10897,"Đường Nguyễn Thái Sơn, Phường 7, Gò Vấp, Hồ Chí Minh",Gò Vấp,7,Đường Nguyễn Thái Sơn,89,119,289,100.0,4,5,4,14900.0
10898,"Dự án KĐT Vạn Phúc City, Đường Quốc Lộ 13, Phường Hiệp Bình Phước, Thủ Đức, Hồ Chí Minh",Thủ Đức,Hiệp Bình Phước,"Dự án KĐT Vạn Phúc City, Đường Quốc Lộ 13",69,106,371,198.0,3,4,4,36000.0
10899,"Đường Tỉnh Lộ 10, Phường Tân Tạo, Bình Tân, Hồ Chí Minh",Bình Tân,Tân Tạo,Đường Tỉnh Lộ 10,70,105,129,108.0,2,5,3,8250.0
10900,"Phố Đặng Trần Côn, Phường Bến Thành, Quận 1, Hồ Chí Minh",Quận 1,Bến Thành,Phố Đặng Trần Côn,230,833,1792,152.2,4,4,4,55000.0
10901,"Đường Lê Văn Huân, Phường 13, Tân Bình, Hồ Chí Minh",Tân Bình,13,Đường Lê Văn Huân,112,148,349,120.0,2,2,3,8900.0
10902,"Phường Tân Kiểng, Quận 7, Hồ Chí Minh",Quận 7,Tân Kiểng,0,88,122,332,150.7,3,7,4,10000.0
10903,"Đường S5, Phường Tây Thạnh, Tân Phú, Hồ Chí Minh",Tân Phú,Tây Thạnh,Đường S5,84,139,205,100.0,3,4,4,11000.0
10904,"Đường Đỗ Xuân Hợp, Phường Phước Long A, Quận 9, Hồ Chí Minh",Quận 9,Phước Long A,Đường Đỗ Xuân Hợp,60,87,170,320.0,3,4,4,40000.0
10905,"Hẻm 133, Đường Phạm Văn Bạch, Phường 15, Tân Bình, Hồ Chí Minh",Tân Bình,15,"Hẻm 133, Đường Phạm Văn Bạch",84,106,262,35.0,2,2,2,2630.0
10906,"Đường Số 8, Phường Linh Xuân, Thủ Đức, Hồ Chí Minh",Thủ Đức,Linh Xuân,Đường Số 8,53,69,146,150.0,3,5,5,6090.0
10907,"Đường Nguyễn Trãi, Phường 2, Quận 5, Hồ Chí Minh",Quận 5,2,Đường Nguyễn Trãi,159,456,635,34.0,3,3,4,6600.0
10908,"Đường Quang Trung, Phường 11, Gò Vấp, Hồ Chí Minh",Gò Vấp,11,Đường Quang Trung,101,132,299,56.0,2,4,4,4360.0
10909,"256/33, Đường Phan Huy Ích, Phường 12, Gò Vấp, Hồ Chí Minh",Gò Vấp,12,"256/33, Đường Phan Huy Ích",101,132,299,175.7,6,10,10,40000.0
10910,"Đường Nguyễn Văn Lượng, Phường 10, Gò Vấp, Hồ Chí Minh",Gò Vấp,10,Đường Nguyễn Văn Lượng,101,132,299,142.0,3,4,4,25000.0
10911,"Đường Nguyễn Xiển, Phường Long Thạnh Mỹ, Quận 9, Hồ Chí Minh",Quận 9,Long Thạnh Mỹ,Đường Nguyễn Xiển,58,141,317,95.2,1,2,1,4100.0
10912,"Đường Tô Ký, Phường Đông Hưng Thuận, Quận 12, Hồ Chí Minh",Quận 12,Đông Hưng Thuận,Đường Tô Ký,52,70,180,368.0,3,4,4,19000.0
10913,"Hẻm 18Bis, Đường Nguyễn Thị Minh Khai, Phường Đa Kao, Quận 1, Hồ Chí Minh",Quận 1,Đa Kao,"Hẻm 18Bis, Đường Nguyễn Thị Minh Khai",218,453,1060,98.0,5,4,4,23000.0
10914,"14x, Đường 3/2, Phường 11, Quận 10, Hồ Chí Minh",Quận 10,11,"14x, Đường 3/2",152,202,404,117.0,3,4,4,40500.0
10915,"Dự án The Sholi Bình Tân, Đường An Dương Vương, Phường An Lạc, Bình Tân, Hồ Chí Minh",Bình Tân,An Lạc,"Dự án The Sholi Bình Tân, Đường An Dương Vương",74,97,219,80.0,5,3,4,12500.0
10916,"Đường Vũ Tùng, Phường 2, Bình Thạnh, Hồ Chí Minh",Bình Thạnh,2,Đường Vũ Tùng,97,141,284,46.0,3,4,4,4330.0
10917,"Đường Phạm Văn Hai, Phường 3, Tân Bình, Hồ Chí Minh",Tân Bình,3,Đường Phạm Văn Hai,112,148,349,100.0,4,4,4,31500.0
10918,"Đường Lý Tự Trọng, Phường Bến Thành, Quận 1, Hồ Chí Minh",Quận 1,Bến Thành,Đường Lý Tự Trọng,230,833,1792,163.4,3,4,4,84000.0
10919,"Đường Quang Trung, Phường 8, Gò Vấp, Hồ Chí Minh",Gò Vấp,8,Đường Quang Trung,92,118,194,444.0,1,1,2,35000.0
10920,"Đường Huỳnh Văn Bánh, Phường 13, Phú Nhuận, Hồ Chí Minh",Phú Nhuận,13,Đường Huỳnh Văn Bánh,142,181,410,24.48,5,4,3,6600.0
10921,"Đường Nam Kỳ Khởi Nghĩa, Phường 7, Quận 3, Hồ Chí Minh",Quận 3,7,Đường Nam Kỳ Khởi Nghĩa,202,491,1023,100.0,3,4,4,20500.0
10922,"Đường Số 40, Phường Bình Trưng Đông, Quận 2, Hồ Chí Minh",Quận 2,Bình Trưng Đông,Đường Số 40,84,107,187,168.0,3,4,4,14300.0
10923,"Số 1, Đường Nguyễn Thái Sơn, Phường 5, Gò Vấp, Hồ Chí Minh",Gò Vấp,5,"Số 1, Đường Nguyễn Thái Sơn",88,120,351,365.0,3,4,4,55000.0
10924,"Đường Hoàng Diệu, Phường 4, Quận 4, Hồ Chí Minh",Quận 4,4,Đường Hoàng Diệu,150,202,441,24.5,5,3,3,3200.0
10925,"Đường Bùi Đình Túy, Phường 12, Bình Thạnh, Hồ Chí Minh",Bình Thạnh,12,Đường Bùi Đình Túy,97,141,284,96.0,3,4,4,10500.0
10926,"Đường Nguyễn Gia Trí, Phường 25, Bình Thạnh, Hồ Chí Minh",Bình Thạnh,25,Đường Nguyễn Gia Trí,97,141,284,80.0,3,4,4,12000.0
10927,"Đường Nguyễn Thái Sơn, Phường 4, Gò Vấp, Hồ Chí Minh",Gò Vấp,4,Đường Nguyễn Thái Sơn,92,116,345,68.0,1,3,2,8000.0
10928,"Đường Vĩnh Khánh, Phường 10, Quận 4, Hồ Chí Minh",Quận 4,10,Đường Vĩnh Khánh,101,135,205,90.0,3,12,12,17000.0
10929,"Đường Nguyễn Cửu Đàm, Phường Tân Sơn Nhì, Tân Phú, Hồ Chí Minh",Tân Phú,Tân Sơn Nhì,Đường Nguyễn Cửu Đàm,43,122,264,70.0,4,4,5,11000.0
10930,"Đường Thạch Thị Thanh, Phường Tân Định, Quận 1, Hồ Chí Minh",Quận 1,Tân Định,Đường Thạch Thị Thanh,197,430,660,91.0,3,4,4,18000.0
10931,"219/, Đường Trần Văn Đang, Phường 11, Quận 3, Hồ Chí Minh",Quận 3,11,"219/, Đường Trần Văn Đang",185,241,642,82.0,6,14,15,15800.0
10932,"Đường Nguyễn Biểu, Phường 2, Quận 5, Hồ Chí Minh",Quận 5,2,Đường Nguyễn Biểu,159,456,635,30.0,4,2,3,5400.0
10933,"Đường Độc Lập, Phường Tân Quý, Tân Phú, Hồ Chí Minh",Tân Phú,Tân Quý,Đường Độc Lập,80,105,277,22.0,2,2,2,2150.0
10934,"Đường Vĩnh Viễn, Phường 5, Quận 10, Hồ Chí Minh",Quận 10,5,Đường Vĩnh Viễn,149,193,484,36.0,3,3,3,5900.0
10935,"Đường Bến Phú Lâm, Phường 9, Quận 6, Hồ Chí Minh",Quận 6,9,Đường Bến Phú Lâm,100,128,307,42.4,3,4,4,5700.0
10936,"Đường Trần Hưng Đạo, Phường Nguyễn Cư Trinh, Quận 1, Hồ Chí Minh",Quận 1,Nguyễn Cư Trinh,Đường Trần Hưng Đạo,179,466,873,96.0,3,4,4,16000.0
10937,"Đường Hồng Lạc, Phường 10, Tân Bình, Hồ Chí Minh",Tân Bình,10,Đường Hồng Lạc,97,130,295,100.0,4,4,4,17200.0
10938,"Đường Tân Hóa, Phường 14, Quận 6, Hồ Chí Minh",Quận 6,14,Đường Tân Hóa,181,219,272,54.0,1,3,1,7000.0
10939,"Đường Tên Lửa, Phường An Lạc, Bình Tân, Hồ Chí Minh",Bình Tân,An Lạc,Đường Tên Lửa,74,97,219,192.0,3,4,4,125.0
10940,"Đường Số 12, Phường Bình An, Quận 2, Hồ Chí Minh",Quận 2,Bình An,Đường Số 12,140,225,491,216.0,3,4,5,29000.0
10941,"Dự án KDC Phú Mỹ, Đường Hoàng Quốc Việt, Phường Phú Mỹ, Quận 7, Hồ Chí Minh.",Quận 7,Phú Mỹ,"Dự án KDC Phú Mỹ, Đường Hoàng Quốc Việt",39,133,227,220.5,3,5,4,35000.0
10942,"Đường 2, Phường Bình Hưng Hòa A, Bình Tân, Hồ Chí Minh",Bình Tân,Bình Hưng Hòa A,Đường 2,67,86,179,78.6,3,3,3,5900.0
10943,"Đường Phạm Văn Chiêu, Phường 9, Gò Vấp, Hồ Chí Minh",Gò Vấp,9,Đường Phạm Văn Chiêu,93,122,192,64.0,3,4,4,7900.0
10944,"Dự án An Phú An Khánh, Đường Cao Đức Lân, Phường An Phú, Quận 2, Hồ Chí Minh",Quận 2,An Phú,"Dự án An Phú An Khánh, Đường Cao Đức Lân",70,232,574,320.0,3,4,4,54000.0
10945,"Đường 8, Phường Trường Thọ, Thủ Đức, Hồ Chí Minh",Thủ Đức,Trường Thọ,Đường 8,36,92,222,50.0,2,2,2,4200.0
10946,"Đường 20, Phường Hiệp Bình Chánh, Thủ Đức, Hồ Chí Minh.",Thủ Đức,Hiệp Bình Chánh,Đường 20,80,116,214,108.0,5,5,6,13990.0
10947,"Đường Trần Văn Quang, Phường 10, Tân Bình, Hồ Chí Minh",Tân Bình,10,Đường Trần Văn Quang,97,130,295,40.0,5,4,4,5350.0
10948,"Đường Huỳnh Văn Bánh, Phường 13, Phú Nhuận, Hồ Chí Minh",Phú Nhuận,13,Đường Huỳnh Văn Bánh,142,181,410,100.0,5,4,4,18500.0
10949,"Dự án Riviera Cove, Đường Liên Phường, Phường Phú Hữu, Quận 9, Hồ Chí Minh",Quận 9,Phú Hữu,"Dự án Riviera Cove, Đường Liên Phường",41,147,214,502.0,3,5,5,49900.0
10950,"Đường Lạc Long Quân, Phường 5, Quận 11, Hồ Chí Minh",Quận 11,5,Đường Lạc Long Quân,100,137,354,58.0,3,4,4,6200.0
10951,"Đường Bùi Đình Túy, Phường 12, Bình Thạnh, Hồ Chí Minh",Bình Thạnh,12,Đường Bùi Đình Túy,97,141,284,40.5,3,4,4,5500.0
10952,"Đường Số 8, Phường Hiệp Bình Phước, Thủ Đức, Hồ Chí Minh",Thủ Đức,Hiệp Bình Phước,Đường Số 8,69,106,371,119.0,4,4,4,11300.0
10953,"Đường Nguyễn Trãi, Phường 8, Quận 5, Hồ Chí Minh",Quận 5,8,Đường Nguyễn Trãi,156,394,552,80.0,5,6,5,26800.0
10954,"Đường Cộng Hòa, Phường 13, Tân Bình, Hồ Chí Minh",Tân Bình,13,Đường Cộng Hòa,112,148,349,180.0,2,8,8,14500.0
10955,"Đường Nguyễn Oanh, Phường 7, Gò Vấp, Hồ Chí Minh",Gò Vấp,7,Đường Nguyễn Oanh,89,119,289,180.0,4,10,6,34000.0
10956,"Đường Bạch Đằng, Phường 2, Tân Bình, Hồ Chí Minh",Tân Bình,2,Đường Bạch Đằng,138,281,444,96.0,4,8,9,23900.0
10957,"Đường Trần Não, Phường Bình An, Quận 2, Hồ Chí Minh",Quận 2,Bình An,Đường Trần Não,140,225,491,300.0,5,5,5,82000.0
10958,"Đường Phan Văn Trị, Phường 10, Gò Vấp, Hồ Chí Minh",Gò Vấp,10,Đường Phan Văn Trị,101,132,299,220.0,3,4,4,36000.0
10959,"Dự án Sadeco ven sông, Đường Nguyễn Văn Linh, Phường Tân Phong, Quận 7, Hồ Chí Minh",Quận 7,Tân Phong,"Dự án Sadeco ven sông, Đường Nguyễn Văn Linh",56,235,510,126.0,3,5,6,19500.0
10960,"Đường Quang Trung, Phường 8, Gò Vấp, Hồ Chí Minh",Gò Vấp,8,Đường Quang Trung,92,118,194,77.0,5,5,6,8000.0
10961,"Đường 3, Phường Tam Phú, Thủ Đức, Hồ Chí Minh",Thủ Đức,Tam Phú,Đường 3,33,85,183,110.0,3,5,4,10500.0
10962,"Đường Nguyễn Thị Nghĩa, Phường Bến Thành, Quận 1, Hồ Chí Minh",Quận 1,Bến Thành,Đường Nguyễn Thị Nghĩa,230,833,1792,60.0,3,4,4,35000.0
10963,"Đường Lãnh Binh Thăng, Phường 8, Quận 11, Hồ Chí Minh",Quận 11,8,Đường Lãnh Binh Thăng,156,220,267,1295.0,2,5,6,110000.0
10964,"Đường Hồ Biểu Chánh, Phường 11, Phú Nhuận, Hồ Chí Minh",Phú Nhuận,11,Đường Hồ Biểu Chánh,144,185,634,207.0,3,4,4,39990.0
10965,"Đường Nguyễn Phúc Chu, Phường 15, Tân Bình, Hồ Chí Minh",Tân Bình,15,Đường Nguyễn Phúc Chu,84,106,262,180.0,2,4,2,16500.0
10966,"Đường Phan Xích Long, Phường 2, Phú Nhuận, Hồ Chí Minh",Phú Nhuận,2,Đường Phan Xích Long,135,344,586,990.0,4,5,6,280000.0
10967,"63/, Đường Gò Dầu, Phường Tân Quý, Tân Phú, Hồ Chí Minh",Tân Phú,Tân Quý,"63/, Đường Gò Dầu",80,105,277,72.0,4,4,4,8900.0
10968,"Đường Đặng Thùy Trâm, Phường 13, Bình Thạnh, Hồ Chí Minh",Bình Thạnh,13,Đường Đặng Thùy Trâm,102,139,421,50.3,5,4,4,8500.0
10969,"Đường Tôn Đản, Phường 13, Quận 4, Hồ Chí Minh",Quận 4,13,Đường Tôn Đản,72,140,257,150.0,3,4,4,15000.0
10970,"Đường Nguyễn Văn Đậu, Phường 5, Phú Nhuận, Hồ Chí Minh",Phú Nhuận,5,Đường Nguyễn Văn Đậu,126,156,412,315.7,5,8,8,55000.0
10971,"Dự án Thảo Nguyên Sài Gòn, Phường Long Thạnh Mỹ, Quận 9, Hồ Chí Minh",Quận 9,Long Thạnh Mỹ,Dự án Thảo Nguyên Sài Gòn,58,141,317,192.0,3,4,3,12500.0
10972,"Đường Dương Quảng Hàm, Phường 5, Gò Vấp, Hồ Chí Minh",Gò Vấp,5,Đường Dương Quảng Hàm,88,120,351,110.0,3,2,1,7500.0
10973,"Đường Hoàng Hoa Thám, Phường 12, Tân Bình, Hồ Chí Minh",Tân Bình,12,Đường Hoàng Hoa Thám,129,211,332,120.0,4,4,4,23500.0
10974,"Dự án The Pegasuite, Phố Tạ Quang Bửu, Phường 6, Quận 8, Hồ Chí Minh",Quận 8,6,"Dự án The Pegasuite, Phố Tạ Quang Bửu",38,99,175,82.5,4,6,4,13000.0
10975,"Đường Lê Đức Thọ, Phường 15, Gò Vấp, Hồ Chí Minh",Gò Vấp,15,Đường Lê Đức Thọ,90,110,225,55.0,2,3,2,2600.0
10976,"Đường Số 9, Phường 4, Quận 8, Hồ Chí Minh",Quận 8,4,Đường Số 9,95,124,238,75.0,3,5,6,12900.0
10977,"Đường Cửu Long, Phường 2, Tân Bình, Hồ Chí Minh",Tân Bình,2,Đường Cửu Long,138,281,444,100.0,5,5,6,15000.0
10978,"Hẻm 824, Đường Sư Vạn Hạnh, Phường 13, Quận 10, Hồ Chí Minh",Quận 10,13,"Hẻm 824, Đường Sư Vạn Hạnh",179,346,524,72.0,2,3,2,16000.0
10979,"Đường Nguyễn Trãi, Phường Nguyễn Cư Trinh, Quận 1, Hồ Chí Minh",Quận 1,Nguyễn Cư Trinh,Đường Nguyễn Trãi,179,466,873,375.0,4,5,6,389000.0
10980,"Dự án Q2 Thảo Điền, Đường Xa Lộ Hà Nội, Phường Thảo Điền, Quận 2, Hồ Chí Minh",Quận 2,Thảo Điền,"Dự án Q2 Thảo Điền, Đường Xa Lộ Hà Nội",54,236,630,165.6,2,4,2,30000.0
10981,"Đường Nguyễn Văn Đậu, Phường 5, Phú Nhuận, Hồ Chí Minh",Phú Nhuận,5,Đường Nguyễn Văn Đậu,126,156,412,64.0,4,3,3,9200.0
10982,"Đường Trần Não, Phường Bình An, Quận 2, Hồ Chí Minh",Quận 2,Bình An,Đường Trần Não,140,225,491,280.0,3,4,4,27000.0
10983,"Đường Lữ Gia, Phường 15, Quận 11, Hồ Chí Minh",Quận 11,15,Đường Lữ Gia,108,130,289,54.0,4,5,6,17000.0
10984,"Đường Hoàng Sa, Phường Đa Kao, Quận 1, Hồ Chí Minh",Quận 1,Đa Kao,Đường Hoàng Sa,218,453,1060,84.0,4,4,4,12900.0
10985,"Đường Hoàng Sa, Phường Tân Định, Quận 1, Hồ Chí Minh",Quận 1,Tân Định,Đường Hoàng Sa,197,430,660,60.0,3,4,4,27000.0
10986,"Đường Nguyễn Xuân Khoát, Phường Tân Thành, Tân Phú, Hồ Chí Minh",Tân Phú,Tân Thành,Đường Nguyễn Xuân Khoát,64,165,241,116.0,1,4,1,14000.0
10987,"Đường 11, Phường Trường Thọ, Thủ Đức, Hồ Chí Minh",Thủ Đức,Trường Thọ,Đường 11,36,92,222,74.7,3,4,5,8850.0
10988,"Đường Nguyễn Văn Nghi, Phường 7, Gò Vấp, Hồ Chí Minh",Gò Vấp,7,Đường Nguyễn Văn Nghi,89,119,289,105.0,3,8,4,38500.0
10989,"Dự án KDC Kiến Á, Đường 10, Phường Phước Long B, Quận 9, Hồ Chí Minh",Quận 9,Phước Long B,"Dự án KDC Kiến Á, Đường 10",21,92,214,215.0,3,4,4,25000.0
10990,"Đường Lê Hồng Phong, Phường 12, Quận 10, Hồ Chí Minh",Quận 10,12,Đường Lê Hồng Phong,152,202,404,96.0,3,4,4,29500.0
10991,"Đường Nguyễn Đình Chiểu, Phường 5, Quận 3, Hồ Chí Minh",Quận 3,5,Đường Nguyễn Đình Chiểu,180,485,796,200.0,2,4,4,80000.0
10992,"Dự án River Park, Đường Liên Phường, Phường Phước Long B, Quận 9, Hồ Chí Minh",Quận 9,Phước Long B,"Dự án River Park, Đường Liên Phường",21,92,214,75.0,3,3,4,9200.0
10993,"Đường Ngô Quyền, Phường 5, Quận 10, Hồ Chí Minh",Quận 10,5,Đường Ngô Quyền,149,193,484,100.0,5,5,5,18700.0
10994,"Đường Trường Sa, Phường 17, Bình Thạnh, Hồ Chí Minh",Bình Thạnh,17,Đường Trường Sa,102,139,421,225.0,1,3,2,15500.0
10995,"Đường Nguyễn Oanh, Phường 17, Gò Vấp, Hồ Chí Minh",Gò Vấp,17,Đường Nguyễn Oanh,101,132,299,112.0,3,4,4,11200.0
10996,"Dự án Lovera Park, Đường Trịnh Quang Nghị, Xã Phong Phú, Bình Chánh, Hồ Chí Minh",Bình Chánh,Phong Phú,"Dự án Lovera Park, Đường Trịnh Quang Nghị",57,87,136,105.0,3,4,4,7250.0
10997,"Phố 37, Phường Hiệp Bình Chánh, Thủ Đức, Hồ Chí Minh",Thủ Đức,Hiệp Bình Chánh,Phố 37,80,116,214,76.0,3,4,5,8000.0
10998,"Đường Nơ Trang Long, Phường 12, Bình Thạnh, Hồ Chí Minh",Bình Thạnh,12,Đường Nơ Trang Long,97,141,284,50.0,2,3,2,980.0
10999,"Đường Nguyễn Văn Đậu, Phường 11, Bình Thạnh, Hồ Chí Minh",Bình Thạnh,11,Đường Nguyễn Văn Đậu,102,139,421,40.0,4,4,4,6500.0
11000,"Đường Bến Bình Đông, Phường 11, Quận 8, Hồ Chí Minh",Quận 8,11,Đường Bến Bình Đông,102,132,650,614.0,8,5,6,148000.0
11001,"Đường Bình Thới, Phường 10, Quận 11, Hồ Chí Minh",Quận 11,10,Đường Bình Thới,108,130,289,60.0,3,4,4,8900.0
11002,"Dự án Verosa Park, Đường Liên Phường, Phường Phú Hữu, Quận 9, Hồ Chí Minh",Quận 9,Phú Hữu,"Dự án Verosa Park, Đường Liên Phường",41,147,214,75.0,4,4,5,12500.0
11003,"Đường Điện Biên Phủ, Phường Đa Kao, Quận 1, Hồ Chí Minh",Quận 1,Đa Kao,Đường Điện Biên Phủ,218,453,1060,127.5,4,4,4,35000.0
11004,"Đường Lạc Long Quân, Phường 10, Tân Bình, Hồ Chí Minh",Tân Bình,10,Đường Lạc Long Quân,97,130,295,60.2,2,2,2,6800.0
11005,"Phường Võ Thị Sáu, Quận 3, Hồ Chí Minh",Quận 3,Võ Thị Sáu,0,180,541,970,117.0,4,4,4,19990.0
11006,"Hẻm 331/68, Đường Vườn Lài, Phường An Phú Đông, Quận 12, Hồ Chí Minh",Quận 12,An Phú Đông,"Hẻm 331/68, Đường Vườn Lài",59,78,125,58.0,3,4,4,5500.0
11007,"Đường Phan Xích Long, Phường 1, Phú Nhuận, Hồ Chí Minh",Phú Nhuận,1,Đường Phan Xích Long,144,185,634,38.0,4,5,5,6550.0
